,meanx,meany,stx,sty,s,i,r
0,1,1,0.0001,0.01,0.90653847,0.217647851,0.91
100,1,1,0.0001,0.016681005,0.90623909,0.218193457,0.91
200,1,1,0.0001,0.027825594,0.905732222,0.219071214,0.904
300,1,1,0.0001,0.046415888,0.90486535,0.220445723,0.9
400,1,1,0.0001,0.077426368,0.903356519,0.222489399,0.9
500,1,1,0.0001,0.129154967,0.900644313,0.225192899,0.88
600,1,1,0.0001,0.215443469,0.895453035,0.22744461,0.834
700,1,1,0.0001,0.359381366,0.875304696,0.244129214,0.69
800,1,1,0.0001,0.59948425,0.87217126,0.228698819,0.496
900,1,1,0.0001,1,0.889075432,0.272461643,0.45
1000,1,1,0.001,0.01,0.906513016,0.21769713,0.91
1100,1,1,0.001,0.016681005,0.90621372,0.218242583,0.91
1200,1,1,0.001,0.027825594,0.905707,0.219120077,0.904
1300,1,1,0.001,0.046415888,0.904840387,0.220494119,0.9
1400,1,1,0.001,0.077426368,0.903332032,0.222536942,0.9
1500,1,1,0.001,0.129154967,0.900620737,0.225238811,0.88
1600,1,1,0.001,0.215443469,0.895431326,0.227487185,0.834
1700,1,1,0.001,0.359381366,0.875286244,0.244166194,0.69
1800,1,1,0.001,0.59948425,0.872156511,0.228728295,0.498
1900,1,1,0.001,1,0.889074297,0.272465872,0.45
2000,1,1,0.01,0.01,0.906246156,0.218214868,0.91
2100,1,1,0.01,0.016681005,0.905947721,0.218758766,0.91
2200,1,1,0.01,0.027825594,0.905442494,0.219633566,0.904
2300,1,1,0.01,0.046415888,0.904578524,0.221002845,0.9
2400,1,1,0.01,0.077426368,0.903074998,0.223036975,0.9
2500,1,1,0.01,0.129154967,0.900372956,0.225722216,0.88
2600,1,1,0.01,0.215443469,0.895202534,0.227936556,0.834
2700,1,1,0.01,0.359381366,0.875091742,0.244556073,0.69
2800,1,1,0.01,0.59948425,0.87199882,0.229043571,0.498
2900,1,1,0.01,1,0.889051613,0.272530877,0.45
3000,1,1,0.1,0.01,0.902186078,0.226193216,0.908
3100,1,1,0.1,0.016681005,0.901897576,0.226718647,0.904
3200,1,1,0.1,0.027825594,0.901409562,0.227561473,0.904
3300,1,1,0.1,0.046415888,0.900576085,0.228874198,0.9
3400,1,1,0.1,0.077426368,0.899128346,0.230805077,0.9
3500,1,1,0.1,0.129154967,0.896533395,0.233292654,0.88
3600,1,1,0.1,0.215443469,0.891583318,0.235101646,0.836
3700,1,1,0.1,0.359381366,0.871984493,0.250779826,0.694
3800,1,1,0.1,0.59948425,0.869231005,0.234575168,0.5
3900,1,1,0.1,1,0.887472287,0.275875112,0.456
4000,1,1,1,0.01,0.796447927,0.444927139,0.856
4100,1,1,1,0.016681005,0.796287232,0.445201676,0.856
4200,1,1,1,0.027825594,0.796018378,0.445615515,0.856
4300,1,1,1,0.046415888,0.795566919,0.446183822,0.854
4400,1,1,1,0.077426368,0.794801903,0.446793326,0.85
4500,1,1,1,0.129154967,0.793474013,0.446853416,0.842
4600,1,1,1,0.215443469,0.790994352,0.444006175,0.812
4700,1,1,1,0.359381366,0.785645418,0.431492968,0.71
4800,1,1,1,0.59948425,0.774690125,0.429819876,0.554
4900,1,1,1,1,0.800038461,0.454127301,0.508
1,1,1.1,0.0001,0.01,0.906578951,0.258965167,0.91
101,1,1.1,0.0001,0.016681005,0.906307335,0.259463579,0.91
201,1,1.1,0.0001,0.027825594,0.905848099,0.260268209,0.904
301,1,1.1,0.0001,0.046415888,0.905064506,0.261536241,0.9
401,1,1.1,0.0001,0.077426368,0.90370618,0.263445607,0.9
501,1,1.1,0.0001,0.129154967,0.901283244,0.266051408,0.886
601,1,1.1,0.0001,0.215443469,0.896713178,0.268627776,0.848
701,1,1.1,0.0001,0.359381366,0.881770945,0.280265123,0.736
801,1,1.1,0.0001,0.59948425,0.881425707,0.25647452,0.544
901,1,1.1,0.0001,1,0.875545395,0.30688773,0.418
1001,1,1.1,0.001,0.01,0.906553486,0.259014466,0.91
1101,1,1.1,0.001,0.016681005,0.906281946,0.25951274,0.91
