,meanx,meany,stx,sty,s,i,r
0,1.28,1.21,0.0001,1e-05,0.9069827787484176,0.2995856726271814,0.9099999999999999
1,1.28,1.21,0.0001,1.1233240329780266e-05,0.9069827410521623,0.2995857453848022,0.9099999999999999
2,1.28,1.21,0.0001,1.2618568830660211e-05,0.906982698706995,0.2995858271147503,0.9099999999999999
3,1.28,1.21,0.0001,1.4174741629268048e-05,0.9069826511395789,0.2995859189234153,0.9099999999999999
4,1.28,1.21,0.0001,1.5922827933410938e-05,0.9069825977058652,0.29958602205360135,0.9099999999999999
5,1.28,1.21,0.0001,1.7886495290574353e-05,0.906982537682375,0.29958613790134214,0.9099999999999999
6,1.28,1.21,0.0001,2.0092330025650458e-05,0.9069824702564008,0.2995862680347885,0.9099999999999999
7,1.28,1.21,0.0001,2.2570197196339216e-05,0.9069823945149993,0.2995864142154219,0.9099999999999999
8,1.28,1.21,0.0001,2.5353644939701114e-05,0.9069823094326308,0.2995865784218815,0.9099999999999999
9,1.28,1.21,0.0001,2.848035868435799e-05,0.9069822138572684,0.2995867628767238,0.9099999999999999
10,1.28,1.21,0.0001,3.199267137797385e-05,0.9069821064947977,0.29958697007648016,0.9099999999999999
11,1.28,1.21,0.0001,3.5938136638046256e-05,0.9069819858914879,0.2995872028254107,0.9099999999999999
12,1.28,1.21,0.0001,4.037017258596558e-05,0.9069818504143032,0.29958746427341804,0.9099999999999999
13,1.28,1.21,0.0001,4.534878508128582e-05,0.9069816982287833,0.29958775795861925,0.9099999999999999
14,1.28,1.21,0.0001,5.0941380148163754e-05,0.9069815272741948,0.29958808785516156,0.9099999999999999
15,1.28,1.21,0.0001,5.72236765935022e-05,0.906981335235615,0.29958845842691395,0.9099999999999999
16,1.28,1.21,0.0001,6.428073117284319e-05,0.9069811195125711,0.29958887468776096,0.9099999999999999
17,1.28,1.21,0.0001,7.220809018385456e-05,0.9069808771838093,0.2995893422693043,0.9099999999999999
18,1.28,1.21,0.0001,8.111308307896872e-05,0.9069806049677119,0.29958986749688316,0.9099999999999999
19,1.28,1.21,0.0001,9.111627561154887e-05,0.9069802991778311,0.2995904574749236,0.9099999999999999
20,1.28,1.21,0.0001,0.00010235310218990269,0.9069799556729263,0.2995911201827649,0.9099999999999999
21,1.28,1.21,0.0001,0.00011497569953977356,0.9069795698008388,0.29959186458223214,0.9099999999999999
22,1.28,1.21,0.0001,0.0001291549665014884,0.9069791363354263,0.2995927007383933,0.9099999999999999
23,1.28,1.21,0.0001,0.000145082877849594,0.9069786494057107,0.2995936399551004,0.9099999999999999
24,1.28,1.21,0.0001,0.00016297508346206434,0.9069781024162676,0.299594694927114,0.9099999999999999
25,1.28,1.21,0.0001,0.0001830738280295368,0.9069774879577779,0.2995958799108126,0.9099999999999999
26,1.28,1.21,0.0001,0.00020565123083486514,0.9069767977065155,0.2995972109157472,0.9099999999999999
27,1.28,1.21,0.0001,0.0002310129700083158,0.9069760223114087,0.29959870591954435,0.9099999999999999
28,1.28,1.21,0.0001,0.00025950242113997375,0.9069751512671267,0.29960038510896986,0.9099999999999999
29,1.28,1.21,0.0001,0.0002915053062825176,0.9069741727714549,0.29960227115029286,0.9099999999999999
30,1.28,1.21,0.0001,0.00032745491628777284,0.906973073565012,0.2996043894924484,0.9099999999999999
31,1.28,1.21,0.0001,0.0003678379771828634,0.9069718387511092,0.2996067687068999,0.9099999999999999
32,1.28,1.21,0.0001,0.00041320124001153346,0.9069704515932772,0.29960944086855174,0.9099999999999999
33,1.28,1.21,0.0001,0.0004641588833612782,0.90696889328768,0.2996124419825431,0.9099999999999999
34,1.28,1.21,0.0001,0.0005214008287999684,0.9069671427072775,0.2996158124623029,0.9099999999999999
35,1.28,1.21,0.0001,0.0005857020818056667,0.9069651761142067,0.29961959766481794,0.9099999999999999
36,1.28,1.21,0.0001,0.0006579332246575682,0.9069629668364015,0.2996238484897254,0.9099999999999999
37,1.28,1.21,0.0001,0.0007390722033525775,0.9069604849039588,0.2996286220495209,0.9099999999999999
38,1.28,1.21,0.0001,0.0008302175681319744,0.9069576966401998,0.2996339824189326,0.9099999999999999
39,1.28,1.21,0.0001,0.0009326033468832199,0.9069545642017062,0.29964000147231146,0.9099999999999999
40,1.28,1.21,0.0001,0.001047615752789665,0.9069510450608872,0.2996467598187461,0.9099999999999999
41,1.28,1.21,0.0001,0.0011768119524349979,0.9069470914237986,0.29965434784549844,0.9099999999999999
42,1.28,1.21,0.0001,0.0013219411484660286,0.9069426495749694,0.2996628668812985,0.9099999999999999
43,1.28,1.21,0.0001,0.001484968262254465,0.9069376591399338,0.29967243049196923,0.9099999999999999
44,1.28,1.21,0.0001,0.0016681005372000592,0.9069320522549077,0.2996831659218012,0.9099999999999999
45,1.28,1.21,0.0001,0.001873817422860383,0.9069257526316656,0.2996952156949853,0.9099999999999999
46,1.28,1.21,0.0001,0.00210490414451202,0.9069186745040481,0.2997087393922334,0.9099999999999999
47,1.28,1.21,0.0001,0.002364489412645407,0.9069107214406982,0.2997239156183703,0.9099999999999999
48,1.28,1.21,0.0001,0.0026560877829466868,0.9069017850064963,0.29974094417712804,0.9099999999999999
49,1.28,1.21,0.0001,0.0029836472402833404,0.9068917432527387,0.2997600484694565,0.9099999999999999
50,1.28,1.21,0.0001,0.003351602650938841,0.9068804590132841,0.2997814781312976,0.9099999999999999
51,1.28,1.21,0.0001,0.0037649358067924675,0.9068677779806313,0.2998055119257041,0.9099999999999999
52,1.28,1.21,0.0001,0.0042292428743894986,0.9068535265321266,0.29983246090224297,0.9099999999999999
53,1.28,1.21,0.0001,0.0047508101621027985,0.9068375092720691,0.2998626718334356,0.9099999999999999
54,1.28,1.21,0.0001,0.005336699231206307,0.9068195062503512,0.2998965309332008,0.9099999999999999
55,1.28,1.21,0.0001,0.005994842503189409,0.9067992698122016,0.2999344678553387,0.9099999999999999
